"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"1",0,17.9843408545919,17.9207556170537,2.98173767760794,8.57348731183495,23.9533007063755,0.597222645658817,0.636337856801938,0.312097016104343,528,274,0.658354114713217,802
"2",0.167,15.740447918754,15.5329480434266,3.42613628997578,4.4875430682866,22.5313968658447,0.566313445839087,0.603464244677094,0.295892663402444,503,299,0.627182044887781,802
"3",0.333,17.9298746444303,17.8134771887867,2.96487158584849,8.71212768483832,23.9439680495151,0.554669491829065,0.594960927397741,0.290059271349451,495,307,0.617206982543641,802
"4",0.5,15.9076476805813,15.6931022821354,3.36460181376248,5.04621513388419,22.6614036560059,0.543025538769826,0.582300675363948,0.284547849729821,488,314,0.608478802992519,802
"5",0.667,17.8754083526263,17.7274959966271,2.95133474687995,8.85076793696483,23.9346334853061,0.531381585322442,0.573400035568087,0.279377454686468,480,322,0.598503740648379,802
"6",0.833,16.5181796505689,16.2270888331538,3.21000911893119,6.42993221294975,23.0700874328613,0.519737631569966,0.558220046605897,0.274567350588127,466,336,0.581047381546135,802
"7",1,17.8209421333114,17.6442309487458,2.9411750782051,8.98940747717074,23.9253008284458,0.508093679117418,0.546317658960791,0.270136786815823,456,346,0.56857855361596,802
"8",1.167,16.568194123231,16.2280967061347,3.18087026520253,6.77608526956611,23.1304225921631,0.496449725159359,0.535444156173211,0.266104719523778,440,362,0.548628428927681,802
"9",1.333,17.7664761988592,17.4717427480038,2.93442668836353,9.12804772929726,23.9159681715854,0.48480577157516,0.526493174267413,0.262489513465135,423,379,0.527431421446384,802
"10",1.5,16.6297402105349,16.2737537968793,3.15344074543679,7.12223898433491,23.1907577514648,0.47316181854553,0.511519507982012,0.259308605839289,410,392,0.511221945137157,802
"11",1.667,17.712009205055,17.3435012805646,2.93111240665206,9.26668726950317,23.9066336073764,0.461517864991959,0.496767457953863,0.256578148148957,397,405,0.49501246882793,802
"12",1.833,16.6869054464044,16.2314113483941,3.12829148628626,7.46839192007441,23.2510948181152,0.449873911910926,0.477903753846514,0.254312650956638,376,426,0.468827930174564,802
"13",2,17.6575436876602,17.1698914098404,2.93124492068136,9.405328475304,23.8973009505161,0.438229957467391,0.464850833333064,0.252524627137395,358,444,0.446384039900249,802
"14",2.167,16.7436459249406,16.1670312673735,3.10804041623277,7.8145441438933,23.311429977417,0.426586004199083,0.449319804304702,0.251224272754877,342,460,0.42643391521197,802
"15",2.333,17.1593709880802,16.5221238638704,3.02007355776224,8.71391596475308,23.5854434967041,0.414942050897562,0.430231993075383,0.250419185518578,305,497,0.380299251870324,802
"16",2.5,17.575843889492,16.8650004246277,2.93790184886055,9.61328796025788,23.8833010115512,0.403298097377742,0.40490923632561,0.250114147147167,269,533,0.335411471321696,802
"17",2.667,17.5474378144007,16.8000628748065,2.94277907363553,9.68260814675957,23.8786337294467,0.391654143879199,0.386923063796073,0.25031098605849,255,547,0.317955112219451,802
"18",2.833,17.5213781337389,16.6626605984815,2.94662212218337,9.75192833326125,23.8739683546909,0.380010190542553,0.36408914230598,0.251008521649271,242,560,0.301745635910224,802
"19",3,17.4877930075537,16.5858909553045,2.95274169267167,9.82124768696548,23.8693010725864,0.368366237875621,0.340670173749485,0.252202600212223,231,571,0.288029925187032,802
"20",3.167,17.4669113792089,16.5443149797699,2.95873432034936,9.89056870626462,23.8646337904819,0.356722284517966,0.320283156904514,0.2538862141529,225,577,0.280548628428928,802
"21",3.333,17.4396788088034,16.4559594805317,2.96605069001225,9.95988889276631,23.859968415726,0.345078330943079,0.297825925345182,0.256049707597681,219,583,0.273067331670823,802
"22",3.5,17.4124451985527,16.3466387926446,2.97419828439081,10.0292081255937,23.8553011336216,0.33343437772426,0.270906425594233,0.258681041587985,213,589,0.265586034912718,802
"23",3.667,17.3852120431296,16.2406953194022,2.98317043159153,10.0985283120954,23.8506338515171,0.321790423671434,0.246364012450876,0.261766105830239,207,595,0.258104738154613,802
"24",3.833,17.3579794030422,16.1440549805603,2.99296092474214,10.167848498597,23.8459684767612,0.310146470535409,0.218396324550526,0.265289073443488,199,603,0.248129675810474,802
"25",4,17.3307458071609,16.0450284067808,3.00356039214008,10.2371686850987,23.8413011946567,0.298502518056851,0.190249117326418,0.269232754476101,195,607,0.243142144638404,802
"26",4.167,17.3035126863166,15.9868317661013,3.0149604654428,10.3064888716004,23.8366339125522,0.286858564863155,0.160883325960969,0.273578955321021,189,613,0.235660847880299,802
"27",4.333,17.2762798819885,15.8989264851529,3.02715352424382,10.3758081044278,23.8319685377964,0.275214610821783,0.133049978101515,0.278308817214147,185,617,0.230673316708229,802
"28",4.5,17.2490464762564,15.8493318114666,3.04012802304001,10.4451282909295,23.8273012556919,0.263570657321397,0.107332871844187,0.283403132984806,181,621,0.22568578553616,802
"29",4.667,17.2214957958589,15.7862187371558,3.05357112290706,10.5144484774312,23.8226339735874,0.25192670472027,0.0827751580136858,0.288842620777912,177,625,0.22069825436409,802
"30",4.833,17.1945805332974,15.7435622257639,3.06838463396466,10.583768543056,23.8179685988315,0.240282750660563,0.0570668961554807,0.294608159245126,171,631,0.213216957605985,802
"31",5,17.1673472782977,15.6955817288368,3.08364475777808,10.6530887295577,23.813301316727,0.236260090838147,0.0363361326066299,0.310703695708539,174,628,0.216957605985037,802
"32",5.167,17.1459364561601,15.6997212583165,3.07232931384644,10.7172926049729,23.798897202516,0.224424899357892,0.0323658754785575,0.29733521514006,167,638,0.207453416149068,805
"33",5.333,17.1086717282077,15.6349937933725,3.06045526810689,10.7814962386344,23.8072779601094,0.222169194903027,0.032819733397405,0.294580613353649,162,639,0.202247191011236,801
"34",5.5,17.0821525342762,15.624575338155,3.046068187697,10.8812296723255,23.7928778677271,0.217881738221183,0.0316476008581501,0.290550484681522,159,641,0.19875,800
"35",5.667,17.0641163382898,15.5833515896075,3.04475394258636,10.9377559659925,23.8270645141602,0.214083961488924,0.0304754661939774,0.287327016080313,154,648,0.192019950124688,802
"36",5.833,17.0273782015888,15.5373008729562,3.03768733984665,10.994282003394,23.7891937445603,0.208640333625247,0.0286024756768917,0.282793252073998,149,657,0.184863523573201,806
"37",6,16.9404792831083,15.4299379297968,3.00136796531003,11.4525961301593,23.7682621243297,0.205831261503477,0.028459289096726,0.279381979995107,146,652,0.182957393483709,798
"38",6.167,16.9496930241912,15.4213662789376,3.06095618370323,11.4649407815121,23.8029303417751,0.2022567777562,0.0272734863740269,0.276505592630514,142,656,0.177944862155388,798
"39",6.333,16.8828813269322,15.3640555228765,3.04325195607762,11.2168525309932,23.8053970336914,0.198536366433209,0.0275984283179354,0.273565938971843,138,660,0.172932330827068,798
"40",6.5,16.7943895467066,15.3142875394714,2.99328947313658,11.1992909758149,23.7818326672774,0.195866903181927,0.0280587896704674,0.270540233875611,134,658,0.169191919191919,792
"41",6.667,16.6827364923455,15.2476717035163,2.94665788419515,11.1259851655843,23.791898471559,0.189131693615024,0.026218196422738,0.26458265017522,128,659,0.162642947903431,787
"42",6.833,16.6473083161497,15.2086658477783,2.93750318337346,10.6319873646021,23.7870069849741,0.184210668821052,0.0243250815109705,0.261058697544237,121,664,0.154140127388535,785
"43",7,16.5600853307766,15.1956787344233,2.92006992420965,11.5748678359098,23.7679177674549,0.179992745235745,0.0227350579467332,0.257078951289812,117,666,0.149425287356322,783
"44",7.167,16.5408194069629,15.1732917186579,2.93128657066015,11.4843844820265,23.7554077206616,0.175857315149433,0.0201586640979956,0.254223427440477,114,672,0.145038167938931,786
"45",7.333,16.5253760299552,15.1105344470408,2.96825910851557,11.2957029342651,23.7915541025083,0.17014206843703,0.0189728601955685,0.249134405450349,106,682,0.134517766497462,788
"46",7.5,16.4753768532765,15.1421304859506,2.94795256840328,10.9772043228149,23.7755928039551,0.165615826235676,0.0175820000336875,0.246405081029553,104,681,0.132484076433121,785
"47",7.667,16.4063787470103,15.0531617817117,2.93990818933583,11.2330080429308,23.7563934326172,0.161421755996392,0.016221730131964,0.242478668593143,101,685,0.128498727735369,786
"48",7.833,16.3040590267813,15.0600871900109,2.90674953606787,10.3718415239675,23.7734122973465,0.153669670997188,0.0142050635675229,0.236290086747101,99,697,0.124371859296482,796
"49",8,16.2944279492494,15.011222904515,2.90894229203006,11.3022384181933,23.7487942309263,0.150405652603638,0.0129973368920698,0.232412183882648,94,701,0.118238993710692,795
"50",8.167,16.2406754199494,14.9993517614169,2.92184141432182,11.2497708507025,23.7521330190913,0.145029061588607,0.0116401086511903,0.228093670467552,89,708,0.111668757841907,797
"51",8.333,16.2143199415882,14.9650828031837,2.93872998599833,11.183844708278,23.750265885107,0.13897083021188,0.00943191055609267,0.2233851876413,85,717,0.105985037406484,802
"52",8.5,16.1190106751641,14.9481907464879,2.90392713343066,10.7282476425171,23.737061360261,0.136282524341216,0.00854008570584928,0.220299871475096,83,710,0.104665825977301,793
