"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"1",0,22.6179518780983,23.0004596710205,4.50270688848705,8.0213737487793,29.1093978881836,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"2",0.1,22.7384910075141,23.1340303421021,4.48336013094475,8.23351287841797,29.1807079315186,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"3",0.2,22.8590301958991,23.276909828186,4.46454873568012,8.44565105438232,29.2520179748535,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"4",0.3,22.979569367,23.394905090332,4.44627942736749,8.65778923034668,29.3251800537109,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"5",0.4,23.1001085472514,23.5598745346069,4.42855899634122,8.86992740631104,29.4170722961426,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"6",0.5,23.2206477112353,23.6685075759888,4.41139402185858,9.08206558227539,29.5089664459229,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"7",0.6,23.3411868986036,23.7771406173706,4.39479102503714,9.29420471191406,29.6008605957031,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"8",0.7,23.4617261012226,23.8971042633057,4.37875636527223,9.50634288787842,29.6927547454834,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"9",0.8,23.5822652591063,24.0303602218628,4.36329631039162,9.71848106384277,29.7846488952637,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"10",0.9,23.7028044047895,24.1649303436279,4.34841703189162,9.93061923980713,29.8765411376953,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"11",1,23.8233435891076,24.293402671814,4.3341244713889,10.1427574157715,29.9684352874756,2.72693991807224,2.00773441791534,2.30295542161971,938,0,1,938
"12",1.1,23.9033093778496,24.325288772583,4.33699188667524,10.3548965454102,29.8938083648682,2.70658793886248,2.00043964385986,2.26715656362384,936,0,1,936
"13",1.2,24.0086902610222,24.3851013183594,4.32626331187262,10.5670347213745,29.9651184082031,2.69135171501166,1.99367290735245,2.25724909622913,932,0,1,932
"14",1.3,24.0980652696343,24.4206237792969,4.32501585682691,10.7791728973389,30.0364284515381,2.6788901982128,1.98180288076401,2.24443918091783,930,0,1,930
"15",1.4,24.1783457897252,24.5491991043091,4.32337466018227,10.9913110733032,30.1077365875244,2.66641308482369,1.97839552164078,2.23077622548582,932,0,1,932
"16",1.5,24.2771251288793,24.6119813919067,4.32005501161626,11.2034492492676,30.1790466308594,2.64877273498043,1.96708285808563,2.20158801829251,930,0,1,930
"17",1.6,24.3752263547527,24.707311630249,4.31974420793806,11.4155883789062,30.2503566741943,2.64917980728293,1.96139931678772,2.2061547390874,931,0,1,931
"18",1.7,24.4676407588425,24.788535118103,4.31711468822862,11.6277265548706,30.450719833374,2.6413012566105,1.9582913517952,2.19529761116577,930,0,1,930
"19",1.8,24.5529592110991,24.8766403198242,4.33714812840463,11.839864730835,30.6767997741699,2.63497620203961,1.96139931678772,2.18411315583281,937,0,1,937
"20",1.9,24.5982427178857,24.945255279541,4.3453698714358,12.0520029067993,30.907341003418,2.60704601180745,1.93924129009247,2.14842810882141,935,0,1,935
"21",2,24.6812024025012,25.0292072296143,4.35519176998396,12.2641410827637,31.137882232666,2.60353117113683,1.93830400705338,2.13361221731155,938,0,1,938
"22",2.1,24.7564657115733,25.0534410476685,4.35973086173601,12.4762802124023,31.3684234619141,2.63355147056996,1.96896189451218,2.11802543984501,938,0,1,938
"23",2.2,24.8579543961982,25.1454753875732,4.35655314977542,12.6884183883667,31.5989665985107,2.66449503114449,1.99061489105225,2.0921157493395,941,0,1,941
"24",2.3,24.9682044383051,25.2433795928955,4.33238535811696,12.9005565643311,31.8295078277588,2.69042210150629,2.02352333068848,2.07251691059881,938,0,1,938
"25",2.4,25.0433963347246,25.3011207580566,4.33281596420443,13.1126947402954,32.0600509643555,2.69887652167662,2.05662941932678,2.02520590098437,935,0,1,935
"26",2.5,25.1376274506676,25.3869819641113,4.33085725851618,13.3248329162598,32.2905921936035,2.73049489788831,2.08053660392761,2.01423687894812,935,0,1,935
"27",2.6,25.2516395701444,25.4680786132812,4.32519870177352,13.5369710922241,32.5211334228516,2.75818977406956,2.12305212020874,1.99868725764256,935,0,1,935
"28",2.7,25.3510168081694,25.562780380249,4.31946497866139,13.7491102218628,32.7516746520996,2.77917606219857,2.15535426139832,1.97007896814132,933,0,1,933
"29",2.8,25.4094096513895,25.5825834274292,4.33461286323607,13.9612483978271,32.9822158813477,2.78653352280967,2.19620025157928,1.94314807356364,936,0,1,936
"30",2.9,25.5156638884927,25.6796493530273,4.33970670899819,14.1733865737915,33.2127571105957,2.81866682181384,2.2225706577301,1.94716912872465,935,0,1,935
"31",3,25.6152112917931,25.7734994888306,4.33311706024043,14.4717626571655,33.4432983398438,2.84889983384206,2.24851059913635,1.95226378934322,934,0,1,934
"32",3.1,25.7023212299552,25.819130897522,4.33116342252941,14.6201763153076,33.6738395690918,2.83010745721479,2.24172985553741,1.93419873485797,930,0,1,930
"33",3.2,25.7936378971685,25.8860721588135,4.33938569588554,14.768590927124,33.9043846130371,2.82251581067313,2.22873997688293,1.93458637748476,933,0,1,933
"34",3.3,25.8688354829139,25.9566459655762,4.35608151061172,14.9170045852661,34.1349258422852,2.81466135765552,2.22805035114288,1.92821647470272,934,0,1,934
"35",3.4,25.9449509646166,26.0012435913086,4.36025353382757,15.0654182434082,34.2367057800293,2.8041394813813,2.22693705558777,1.91955363677095,935,0,1,935
"36",3.5,26.0453237309175,26.0605163574219,4.35554069677284,15.2138319015503,34.4740447998047,2.78833183024656,2.22287750244141,1.90454095959569,935,0,1,935
"37",3.6,26.1368146319675,26.1554336547852,4.37474276657176,14.736252784729,34.7113876342773,2.79158099320454,2.22446548938751,1.9074752416059,936,0,1,936
"38",3.7,26.2067247914092,26.1951942443848,4.38799663886021,14.8694534301758,34.94873046875,2.77705644890426,2.21575045585632,1.90582816482887,933,0,1,933
"39",3.8,26.3072625858898,26.2921943664551,4.39736364260712,15.0026540756226,35.1860733032227,2.77495247890605,2.2142219543457,1.9154007840171,935,0,1,935
"40",3.9,26.3750918699436,26.3461570739746,4.38629538027581,15.1358547210693,35.4234161376953,2.74548887944273,2.19570016860962,1.88787703579308,932,0,1,932
"41",4,26.4583585185057,26.4377765655518,4.37776312733359,15.2690553665161,35.660758972168,2.71369138385771,2.17167258262634,1.85088271445915,926,0,1,926
"42",4.1,26.5605936153293,26.5137367248535,4.38933842389929,15.4022550582886,35.8981018066406,2.7137869201689,2.16370964050293,1.84875809579624,927,0,1,927
