"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"1",0,17.9843408545919,17.9207556170537,2.98173767760794,8.57348731183495,23.9533007063755,0.597222645658817,0.636337856801938,0.312097016104343,528,274,0.658354114713217,802
"2",0.167,18.0883865635025,17.9645937978111,2.89146391355325,8.16130405911749,24.5007847228374,0.341436980728661,0.323899874943123,0.172914608792975,173,541,0.242296918767507,714
"3",0.333,18.7045608571712,18.6115962773344,2.86085808919559,8.54585688091962,25.2118632606415,0.337130494951106,0.317575322547233,0.172946228611602,170,544,0.238095238095238,714
"4",0.5,19.8454037508854,19.6677746638673,3.00568729638112,8.95584040936706,26.6974899986651,0.332824009173552,0.311250770151342,0.173009373572783,168,546,0.235294117647059,714
"5",0.667,20.4778108441485,20.1836288375546,3.07099225339034,9.30858945341618,27.5854503786387,0.328517523395997,0.304926217755451,0.173104009177253,159,555,0.222689075630252,714
"6",0.833,21.5389061827533,21.2821582753002,3.31493063199841,9.63519828481828,29.027383419539,0.324211037618442,0.298974923308754,0.173230083814998,158,556,0.221288515406162,714
"7",1,22.4674256643394,22.1551706528772,3.50730231297649,10.6733183294763,30.2143518282016,0.317178033476688,0.293377680792517,0.173271118813504,156,573,0.213991769547325,729
"8",1.167,22.1881159188052,21.8793797004102,3.40515786274077,10.5797624999252,29.5869495631183,0.316265808493287,0.293691252168181,0.172438474233348,148,540,0.215116279069767,688
"9",1.333,22.3428771967448,22.045468084796,3.33684826875171,11.0105794036292,29.5290208290372,0.311926105949485,0.291554730914029,0.17267599393244,145,543,0.210755813953488,688
"10",1.5,22.0590035713496,21.7353540683962,3.33919083378616,10.7267216130716,29.2022227645356,0.307586403405682,0.288901299640708,0.1729448797173,136,552,0.197674418604651,688
"11",1.667,22.3479282713462,22.0031872957024,3.30012255260533,11.116120634483,29.3959155691197,0.303246700861879,0.285644811904468,0.173244985542297,134,554,0.194767441860465,688
