"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","prec_mean","prec_median","prec_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"1",0,22.6179518780983,23.0004596710205,4.50270688848705,8.0213737487793,29.1093978881836,0.18381775333857,0,0.387487721167575,2.72693991807224,2.00773441791534,2.30295542161971,234,1039,0.18381775333857,1273
"2",0.167,22.8188504847382,23.2366313934326,4.47075925048313,8.37493801116943,29.2282485961914,0.18381775333857,0,0.387487721167575,2.72693991807224,2.00773441791534,2.30295542161971,234,1039,0.18381775333857,1273
"3",0.333,23.0197490984951,23.4500465393066,4.44031130986787,8.72850227355957,29.3558101654053,0.18381775333857,0,0.387487721167575,2.72693991807224,2.00773441791534,2.30295542161971,234,1039,0.18381775333857,1273
"4",0.5,23.2206477112353,23.6685075759888,4.41139402185858,9.08206558227539,29.5089664459229,0.18381775333857,0,0.387487721167575,2.72693991807224,2.00773441791534,2.30295542161971,234,1039,0.18381775333857,1273
"5",0.667,23.421546343293,23.8665332794189,4.38403769983487,9.43562984466553,29.6621227264404,0.18381775333857,0,0.387487721167575,2.72693991807224,2.00773441791534,2.30295542161971,234,1039,0.18381775333857,1273
"6",0.833,23.6224449723006,24.0653676986694,4.35827171802877,9.78919410705566,29.815279006958,0.18381775333857,0,0.387487721167575,2.72693991807224,2.00773441791534,2.30295542161971,234,1039,0.18381775333857,1273
"7",1,23.8233435891076,24.293402671814,4.3341244713889,10.1427574157715,29.9684352874756,0.18381775333857,0,0.387487721167575,2.72693991807224,2.00773441791534,2.30295542161971,234,1039,0.18381775333857,1273
"8",1.167,23.9757572006618,24.361741065979,4.32890065334649,10.4963216781616,29.9413471221924,0.184397163120567,0,0.387960638826946,2.70092298023451,1.99548786878586,2.26432130993629,234,1035,0.184397163120567,1269
"9",1.333,24.1193421903666,24.4481678009033,4.32375580153435,10.8498859405518,30.0601978302002,0.184834123222749,0,0.388316336517313,2.670354099266,1.98145425319672,2.23357079333683,234,1032,0.184834123222749,1266
"10",1.5,24.2771251288793,24.6119813919067,4.32005501161626,11.2034492492676,30.1790466308594,0.186561264822134,0,0.389712996373874,2.64877273498043,1.96708285808563,2.20158801829251,236,1029,0.186561264822134,1265
"11",1.667,24.4323087532461,24.7637557983398,4.3207198941995,11.5570135116577,30.3808689117432,0.186413902053712,0,0.389594213861762,2.64108346740362,1.96139931678772,2.19412708928181,236,1030,0.186413902053712,1266
"12",1.833,24.5558555128735,24.9007720947266,4.3477947442333,11.9105777740479,30.7536468505859,0.186320754716981,0,0.389518435293602,2.629921696611,1.95394659042358,2.18302654800304,237,1035,0.186320754716981,1272
"13",2,24.6812024025012,25.0292072296143,4.35519176998396,12.2641410827637,31.137882232666,0.186959937156324,0,0.390032589104447,2.60353117113683,1.93830400705338,2.13361221731155,238,1035,0.186959937156324,1273
"14",2.167,24.8369729539181,25.1382074356079,4.3570579640052,12.6177053451538,31.5221176147461,0.167843137254902,0,0.373873576282084,2.66148118490868,1.98260831832886,2.10884335656173,214,1061,0.167843137254902,1275
"15",2.333,24.9883564470675,25.2522239685059,4.33548268475591,12.9712696075439,31.9063549041748,0.157770800627943,0,0.364669107267928,2.69329037649817,2.0358943939209,2.05619788378781,201,1073,0.157770800627943,1274
"16",2.5,25.1376274506676,25.3869819641113,4.33085725851618,13.3248329162598,32.2905921936035,0.148818897637795,0,0.356050071679963,2.73049489788831,2.08053660392761,2.01423687894812,189,1081,0.148818897637795,1270
"17",2.667,25.3109436617787,25.5223255157471,4.32128721086491,13.6783971786499,32.6748275756836,0.144321766561514,0,0.351554352949213,2.76803316231837,2.14571189880371,1.97113452900694,183,1085,0.144321766561514,1268
"18",2.833,25.4446743152382,25.6109313964844,4.33596654899137,14.03196144104,33.0590629577637,0.134751773049645,0,0.341592862341891,2.79761420455173,2.20315623283386,1.94579621591321,171,1098,0.134751773049645,1269
"19",3,25.6152112917931,25.7734994888306,4.33311706024043,14.4717626571655,33.4432983398438,0.132387706855792,0,0.339045404737131,2.84889983384206,2.24851059913635,1.95226378934322,168,1101,0.132387706855792,1269
"20",3.167,25.7728791262486,25.8629398345947,4.32413241635158,14.7191190719604,33.8275375366211,0.135071090047393,0,0.341934560923677,2.82402649256136,2.22873997688293,1.9363704996868,171,1095,0.135071090047393,1266
"21",3.333,25.8971599266412,25.9811716079712,4.35502259667791,14.9664754867554,34.2117729187012,0.136327817178881,0,0.343271613066944,2.80646239077509,2.22745621204376,1.91971225569825,173,1096,0.136327817178881,1269
"22",3.5,26.0453237309175,26.0605163574219,4.35554069677284,15.2138319015503,34.4740447998047,0.138582677165354,0,0.345646627169767,2.78833183024656,2.22287750244141,1.90454095959569,176,1094,0.138582677165354,1270
"23",3.667,26.1880800275721,26.1866664886475,4.37893829488567,14.8250532150269,34.8696174621582,0.140833988985051,0,0.347987143363374,2.7777681630264,2.21846306324005,1.90263769995443,179,1092,0.140833988985051,1271
"24",3.833,26.3246474066731,26.3247451782227,4.39012159984788,15.0470542907715,35.2651901245117,0.143533123028391,0,0.350754032289284,2.75473919692913,2.21027231216431,1.88911055186377,182,1086,0.143533123028391,1268
"25",4,26.4583585185057,26.4377765655518,4.37776312733359,15.2690553665161,35.660758972168,0.145122918318795,0,0.352364468989255,2.71369138385771,2.17167258262634,1.85088271445915,183,1078,0.145122918318795,1261
"26",4.167,26.6247082856195,26.5198554992676,4.39304976997506,15.4910554885864,36.0563316345215,0.146476642913698,0,0.353723482327725,2.7060526493166,2.16340792179108,1.84104780711062,185,1078,0.146476642913698,1263
"27",4.333,26.7540680270997,26.6627635955811,4.40168023413584,15.7130565643311,36.4519004821777,0.146687697160883,0,0.353933905432108,2.69255013902854,2.15731287002563,1.8256929539162,186,1082,0.146687697160883,1268
