"genus","species","scientific_name_intepreted","catalogue_number","institution","decimal_latitude_wgs84","decimal_longitude_wgs84","year","month","day","record_id"
"Anilios","Anilios ligatus","Anilios ligatus","J85795","Queensland Museum",-17.659167,145.264444,2006,3,9,"d4028d49-0895-445d-9d3c-e62485244f45"
"Anilios","Anilios ligatus","Anilios ligatus","J7932","Queensland Museum",-27.366667,152.166667,NA,NA,NA,"d4515b2e-f7d3-4224-b6b1-5cc29e02b733"
"Anilios","Anilios ligatus","Anilios ligatus","J57653","Queensland Museum",-27.166667,150.033333,1992,11,26,"d4794a94-bd09-48b3-80e3-6976e8d756d4"
"Anilios","Anilios ligatus","Anilios ligatus","R02256","Museum and Art Gallery of the Northern Territory",-14.517,132.133,1976,3,6,"d57e30ff-3439-4f1f-911d-8425008321fd"
"Anilios","Anilios ligatus","Anilios ligatus","J80830","Queensland Museum",-20.483889,140.608889,2004,3,4,"d6700082-1799-4ec7-b8b8-7fc08d4f683f"
"Anilios","Anilios ligatus","Anilios ligatus","1162947","",-16.07628,130.94391,1997,5,1,"d6f65e2a-7b25-49da-9089-40b6450837b6"
"Anilios","Anilios ligatus","Anilios ligatus","62441310","",-30.635388,149.656616,2020,10,6,"d7464fb4-cbb2-4d3b-9bf5-d44b34dadc6e"
"Anilios","Anilios ligatus","Anilios ligatus","R.63835","Australian Museum",-18.2,144.783,1977,7,6,"d75b84a2-72a9-4be6-bb82-2c7123784d0e"
"Anilios","Anilios ligatus","Anilios ligatus","SJJSI0573081","",-31.083194028063,149.146206,2015,11,22,"d98ed4b9-89a3-45b3-afd1-f9e638302206"
"Anilios","Anilios ligatus","Anilios ligatus","1129016","",-15.81559,129.23422,1990,5,1,"da350dbe-6a31-4795-98cd-b2723162c37c"
"Anilios","Anilios ligatus","Anilios ligatus","R35418","Museum and Art Gallery of the Northern Territory",-13.855833,130.69,2008,8,15,"dad880d0-d8ea-48bb-b703-c95a416dd1ed"
"Anilios","Anilios ligatus","Anilios ligatus","R27370","Museum and Art Gallery of the Northern Territory",-12.867,131.883,2004,4,7,"db08fdaa-8ee3-4264-bcc8-db12599f4ee8"
"Anilios","Anilios ligatus","Anilios ligatus","J9599","Queensland Museum",-25.65,149.8,NA,NA,NA,"dc64be61-28ae-4cc1-b0d7-938c2ce2502c"
"Anilios","Anilios ligatus","Anilios ligatus","J1212","Queensland Museum",-27.583333,148.683333,NA,NA,NA,"dd2f1cb7-aceb-4a9d-ba10-6108983eee8b"
"Anilios","Anilios ligatus","Anilios ligatus","J28371","Queensland Museum",-27.65,152.616667,1977,4,4,"df1b1e18-c46f-4dc6-8a8d-cfe635ac908c"
"Anilios","Anilios ligatus","Anilios ligatus","306743","",-16.448554,136.081188,1992,3,9,"e2923c86-280c-45f6-903b-dba0b6cd4382"
