genus,species,scientific_name_intepreted,catalogue_number,omit,institution,decimal_latitude_wgs84,decimal_longitude_wgs84,year,month,day,record_id,omit
Anilios,Anilios affinis,Anilios affinis,R.153041,,Australian Museum,-25.616,151.616,NA,NA,NA,730612c3-9ca4-4877-9d0f-39338813c828,
Anilios,Anilios affinis,Anilios affinis,J89731,,Queensland Museum,-24.135278,143.326111,2011,3,23,73c6eb76-468f-4418-9892-d3d5e436b9c0,
Anilios,Anilios affinis,Anilios affinis,J72756,,Queensland Museum,-22.344722,145.4,2000,2,7,759de980-e09f-4820-bafc-f6a08035242e,
Anilios,Anilios affinis,Anilios affinis,J11632,,Queensland Museum,-24.566667,149.983333,NA,NA,NA,7902ff45-5ed4-4896-bb3c-bb737e4f4a3c,
Anilios,Anilios affinis,Anilios affinis,J76613,,Queensland Museum,-25.073056,147.877778,1999,1,23,84326bbb-489f-4cd7-a6d5-8e410b7bc9fb,
Anilios,Anilios affinis,Anilios affinis,J73628,,Queensland Museum,-27.69854718,151.3508177,NA,NA,NA,8fd02237-9df4-4432-92ee-2e58b7d0abf7,
Anilios,Anilios affinis,Anilios affinis,J36879,,Queensland Museum,-23.516667,148.166667,NA,NA,NA,9070132a-c0af-458e-977a-18bf31d60dd7,
Anilios,Anilios affinis,Anilios affinis,J84315,,Queensland Museum,-22.011667,148.319722,2006,8,3,919ddff1-0426-4cce-bef5-7d6132c4ce7e,
Anilios,Anilios affinis,Anilios affinis,J79875,,Queensland Museum,-19.5985853,146.5508417,1974,6,3,9b1b8125-87cb-4ac3-8fc8-055c0d43626f,
Anilios,Anilios affinis,Anilios affinis,J76614,,Queensland Museum,-25.039444,147.918056,1999,1,20,a6d5b038-6356-430b-9b86-0ed76d4db417,
Anilios,Anilios affinis,Anilios affinis,J74998,,Queensland Museum,-20,146.416667,1979,7,29,a6e2987f-7684-4e3c-830e-28fc14cd7884,
Anilios,Anilios affinis,Anilios affinis,J70008,,Queensland Museum,-27.696944,152.863889,1999,6,8,a8d86141-0f0a-4d12-9b17-68306b7e1be8,
Anilios,Anilios affinis,Anilios affinis,J81300,,Queensland Museum,-21.147222,147.785278,2004,5,3,a8f59c2f-cd5b-4092-b4d3-2f62e17d8851,
Anilios,Anilios affinis,Anilios affinis,J60650,,Queensland Museum,-19.533333,146.733333,1995,9,3,a9eca8d0-ebe7-4cdb-a9c0-6686d9cb9335,
Anilios,Anilios affinis,Anilios affinis,J64584,,Queensland Museum,-23.516667,150.333333,1998,2,25,b0dcd576-8bcd-4c1c-989b-613833ea7f95,
Anilios,Anilios affinis,Anilios affinis,J44506,,Queensland Museum,-19.483333,145.65,1981,12,4,b0f4cff9-4e96-4c97-8053-5cbc183d8afa,
Anilios,Anilios affinis,Anilios affinis,J81301,,Queensland Museum,-20.697778,147.698333,2004,5,30,b52d4cc0-cf7b-4f67-a2fb-709c316b59a1,
Anilios,Anilios affinis,Anilios affinis,R.12683,,Australian Museum,-24.116,148.083,NA,NA,NA,b691368b-f3c2-481c-b35a-c98eea41acc2,
Anilios,Anilios affinis,Anilios affinis,R3821.C,,South Australian Museum,-19.6,146.83,NA,NA,NA,b70ba16f-2be4-4fba-803a-3645826a8cf0,
Anilios,Anilios affinis,Anilios affinis,R.5333,,Australian Museum,-25.366,151.116,NA,NA,NA,b93797d2-0f64-4f62-8a99-e367faa8379c,
Anilios,Anilios affinis,Anilios affinis,J61812,,Queensland Museum,-19.416667,146.95,1985,10,17,ba3f05c7-6123-4086-95c4-fde128fd1696,
Anilios,Anilios affinis,Anilios affinis,J23870,,Queensland Museum,-27.566667,152.883333,1973,12,11,be329d1b-ef4b-4537-806f-e64569b004ba,
